name_code	common_name
110001	產黃纖維單胞菌
110002	谷氨酸棒桿菌
110003	檸檬節桿菌
110004	球形節桿菌
110006	比菲德氏菌
110007	淺滕黃黃桿菌
110008	多食黃桿菌
110013	螺旋雙須藻
110025	蘚生束藻
110038	圓胞束球藻
110042	優美平裂藻
110045	銀灰平裂藻
110050	銅銹微囊藻
110057	假絲微囊藻
110060	水生集胞藻
110063	集胞藻
110066	細小隱球藻
110074	棲石隱杆藻
110079	湖沼色球藻
110082	小形色球藻
110084	膨脹色球藻
110085	色球藻屬
110110	眠狀軟管藻
110111	淺黃軟管藻
110118	胞內植生藻
110120	黑色膠鬚藻
110131	盤氏鞘絲藻
110132	絲狀鞘絲藻
110138	巨大鞘絲藻
110141	井欄鞘絲藻
110142	半豐滿鞘絲藻
110143	原型微鞘藻
110155	短絲席藻
110156	鋼色席藻
110159	彎曲顫藻
110161	臺灣席藻
110175	具飾顫藻
110178	具毛顫藻
110180	長毛顫藻
110187	清淨顫藻
110205	皮狀席藻
110220	大螺旋藻
110222	純頂螺旋藻
110223	為首螺旋藻
110224	海生螺旋藻
110226	紅海束毛藻
110227	漢氏束毛藻
110228	鐵氏束毛藻
110229	簇生束藻
110230	蘚狀束藻
110234	海雹菜
110243	仙人掌桿菌
110244	環狀桿菌
110245	凝結桿菌
110246	地衣桿菌
110247	短小桿菌
110249	球形桿菌
110250	枯草桿菌
110253	蘇力菌以色列亞種
110254	蘇力菌庫斯克亞種
110256	李斯特單胞菌
110257	金黃色葡萄球菌金黃色亞種
110258	表皮葡萄球菌
110259	模仿葡萄球菌
110260	沃氏葡萄球菌
110261	糞腸球菌
110262	屎腸球菌
110264	嗜酸乳酸菌
110265	短乳酸菌
110266	布氏乳酸菌
110267	酪酸乳酸菌酪酸亞種
110268	德布律克氏乳酸菌保加利亞亞種
110269	酵素乳桿菌
110270	瑞士乳酸菌
110271	詹氏乳酸菌
110272	胚芽乳酸菌
110273	有害片球菌
110274	嗜熱性鏈球菌
110288	巴斯德醋酸菌
110290	氧化葡糖酸桿菌
110293	糞產鹼菌
110294	木糖產鹼菌
110296	洋蔥伯克氏菌
110297	馬鼻疽伯克氏菌
110298	皮氏羅爾斯頓氏菌
110300	紫色色桿菌
110303	豚鼠氣單胞菌
110304	嗜水氣單胞菌
110305	簡達氣單胞菌
110306	溫和氣單胞菌
110307	腐敗希瓦氏箘
110313	大腸埃希氏菌
110316	普通變形桿菌
110317	產鹼普羅威登斯菌
110318	豬霍亂桿菌豬霍亂亞種
110319	萎垂桿菌
110320	鮑氏靜止桿菌
110321	綠膿桿菌
110326	熱帶魚弧菌
110327	擬態弧菌
110328	腸炎弧菌
110330	創傷弧菌
120008	錘狀中鼓藻
120009	長耳盒形藻
120010	可疑盒形藻
120011	顆粒盒形藻
120012	橫濱盒形藻
120013	異角盒形藻
120014	平滑盒形藻
120015	長角盒形藻
120016	活動盒形藻
120017	鈍角盒形藻
120020	正盒形藻
120021	網狀盒形藻
120029	中國盒形藻
120032	三刺盒形藻
120035	膨突角狀藻
120036	雙凹梯形藻
120039	布氏雙尾藻
120040	太陽雙尾藻
120042	長角彎角藻
120045	短角彎角藻
120057	印度扭鞘藻
120058	泰晤士扭鞘藻
120059	細紋三角藻
