name_code	diagnosis
122608	Deep dweller. Commonly occurred in lower photic layer, where nutrient is plentiful, and light intensity is limited.
122609	Deep dweller. Commonly occurred in lower photic layer, where nutrient is plentiful, and light intensity is limited.
122610	Deep photic dweller.
122628	Commonly occurred in subtropical, often dominated in oligotrophic coccolithophore communities.
122629	Commonly occurred in subtropical, often dominated in oligotrophic coccolithophore communities.
122630	Predominantly deep photic.
122631	Predominantly deep photic.
122632	Predominantly deep-photic.
122637	The most abundant and ubiquitous species in the modern seas, often forming bloom.
122639	Worldwide in warm waters, mostly above 18℃.
122640	Deep photic.
122649	Common in oligotrophic surface waters.
122653	Possibly related to subtropical to tropical waters and especially to nutrient-enriched environments.
314153	Shell subpentagonal, angular behind, turgid over the umbones, inequilateral, transverse; valves thin; epidermis dark brown and obscurely rayed; beaks undulated; nacre pearly white and iridescent.
314856	Purplish-pink slender shell, straight sided. Mature whorls, up to 16 and sutures, distinguishable. Protoconch, eroded but mammillate of 4 light-brown whorls, bicarinate, axially threaded according to Kosuge (1962). Lattice sculpture of 3 rows and 16 axial
314857	Turriculate shell with nearly straight sides and accumulate apical spire. Color, white stained with brown. Protoconch accumulate of 4 brown whorls according to Kay (1979) and mature whorls, up to 22. Sculpture of 2 beaded spiral rows plus one much smaller
314858	Subulate shell of 10 mature whorls with sutures not well-defined. Protoconch, unknown. Sculpture of 2 rows of large glossy granules, 14 to the whorl; body whorl with 4 basal rows. The upper rows, orange in color and the lower rows, white; 3-4 red-brown li
314859	Elongate conic shell with straight sides of 14 mature whorls. Protoconch, brown cylindrical of 3 convex whorls. Two rows sculpture of gemmules, 10 to the whorl. Aperture, circuar, tubular; the anterior canal, moderately long, oblique with ring ribs; the p
314860	Elongate conic, inflated at lower portion. Protoconch, unknown and mature whorls, 11 with sutures recessed and ornamented with a fine spiral thread. Each whorl sculptured with 2 spiral rows of granules, 10 to the whorl; 3 rows on body whorl plus 1 basal r
314861	Elongate subulate shell but the juvenile, cylindrical with a planulate base. Protoconch, unknown and mature whorls, 14 with suture, undulate. Sculpture of 2 rows of gemmules, 12 to the whorl; the lower rows, larger, white and the upper rows, lined with or
314863	Elongate conical shell, slightly inflated at lower portion and broader at the base, light brown in color. Protoconch of 3, bicarinate whorls, axially threaded. Mature whorls, 10. Sculpture of 2 equal rows of granules, 14 to the whorl; a medial spiral appe
314865	Shell, ovate conic with a constricted base. Protoconch, brown of 2+ convex whorls, unicarinate, axially threaded. Mature whorls, 9 with narrow, deep sutures. Sculpture of 2 rows of granules, 14 to the whorl, about half their diameter apart; the lower rows
314867	Shell, ovate conical, pinkish white. Mature whorls, 8 and sutures, distinct and lined with chocolate. Whorls sculptured of 2 equal rows of fairly large granules, 12 to the whorl; 3 rows plus 2 extra basal rows on the body whorl. Aperture, subquadrate encl
314869	Subulate shell, acuminate toward the apex. Protoconch, acuminate of 3+ whorls, bicarinate, axially threaded. Teleoconch, 12 with indistinguishable suture. Sculpture of 2 rows of moderately large, round granules, 13 to the whorl; 2 extra rows at bottom. Ap
314870	Shell, elongate, ovate conic with a constricted base. Mature whorls, 9 and sutures, distinguishable. Sculpture of 2 rows of granules; the upper rows, larger, yellow in color and the lower rows, smaller, white; 3 extra yellow rows at bottom; 3 red-brown li
314878	Elongate ovate conic shell of 14 mature whorls with an impressed suture has protoconch, acuminate of 4 brown whorls, bicarinate, axially threaded. Sculpture of 2 prominent round smooth keels, yellow - tan in color has a broad chocolate interspace, axially
314880	Shell, subulate, whorls encircled by 3 prominent smooth ribs, interstices deep and very finely striated, longitudinally; irregularly spotted and marbled with white, brown or purple of various shades. Protoconch, eroded. Aperture, round separated from the
315090	This small globose shell is golden yellow in color and smooth with growth striae only. It has a depressed protoconch and 4 inflated teleoconch whorls which are separated by an impressed suture. Body whorl is globose measuring about ¾ height of the shell.
315095	Shell, illustrated as Fig. 109 is small, ovate conic, yellow-brown having 5-1/2 inflated whorls plus a nucleus at the apex. Aperture is ovate, angled above. The peristoma is white, thin complete and reflected at anterior and columellar margins. The umbili
315420	Shell, small, white with light brown band or squarish blocks; oval-conic with protoconch, subpellucid, light brown of 3 smooth whorls. Mature whorls, 7-8 and suture, narrowly channelled and undulate. Spiral grooves making axial ribs squarish nodular effec
315436	Shell, white, smooth, glossy, oval-conic with apex, blunt. Mature whorls, 5, flat with body whorl, large, bulging and suture, indistinct. Aperture, semicircular; inner lip, calloused; outer lip, thickened with 3 denticles inside.
