name_code	distribution
122607	Ubiquitous in marginal seas around Taiwan.
122608	South China Sea and off northeastern Taiwan.
122609	South China Sea and off northeastern Taiwan.
122610	South China Sea and off northeastern Taiwan.
122611	Off northeastern Taiwan.
122612	South China Sea and Kuroshio.
122613	Off northeastern Taiwan.
122614	Kuroshio and off northeastern Taiwan.
122615	Kuroshio and off northeastern Taiwan.
122616	Western North Pacific Central water.
122617	Off northeastern Taiwan.
122618	Off northeastern Taiwan.
122619	East China Sea, Kuroshio and off northeastern Taiwan.
122620	Off northeastern Taiwan.
122621	Kuroshio and off northeastern Taiwan.
122622	Kuroshio.
122623	Kuroshio and off northeastern Taiwan.
122624	South China Sea and Kuroshio.
122625	South China Sea.
122626	South China Sea.
122627	East and South China Sea and off northeastern Taiwan.
122628	South China Sea, Kuroshio and off northeastern Taiwan.
122629	South China Sea, Kuroshio and off northeastern Taiwan.
122630	South China Sea and off northeastern Taiwan.
122631	South China Sea and off northeastern Taiwan.
122632	Off northeastern Taiwan.
122633	East China Sea and off northeastern Taiwan.
122634	East China Sea and off northeastern Taiwan.
122635	Ubiquitous in marginal seas around Taiwan.
122636	South China Sea and off northeastern Taiwan.
122637	Cosmopolitan in marginal seas around Taiwan
122638	East and South China Sea and off northeastern Taiwan.
122639	East and South China Sea and off northeastern Taiwan.
122640	Off northeastern Taiwan.
122641	South China Sea.
122642	South China Sea and off northeastern Taiwan.
122643	East China Sea and off northeastern Taiwan.
122644	Kuroshio.
122645	Kuroshio and off northeastern Taiwan.
122646	South and East China Sea and off northeastern Taiwan.
122647	Kuroshio.
122648	Kuroshio and off northeastern Taiwan.
122649	Ubiquitous in marginal seas around Taiwan.
122650	South China Sea, Kuroshio and off northeastern Taiwan.
122651	South China Sea and off northeastern Taiwan.
122652	South China Sea.
122653	South and East China Sea and off northeastern Taiwan.
122654	South China Sea and off northeastern Taiwan.
122655	South China Sea and off northeastern Taiwan.
122656	South China Sea and off northeastern Taiwan.
122657	South China Sea and off northeastern Taiwan.
122658	South China Sea and off northeastern Taiwan.
122659	South China Sea, Kuroshio and off northeastern Taiwan.
122660	Off northeastern Taiwan.
122661	Off northeastern Taiwan.
122662	South China Sea, Kuroshio and off northeastern Taiwan.
122663	South China Sea, Kuroshio and off northeastern Taiwan.
122664	South China Sea.
122665	Off northeastern Taiwan.
