name_code	vernacularName
201093	臺灣穗花杉
201098	清水圓柏
201103	臺灣油杉
203293	臺灣水青岡
203782	南湖柳葉菜
310883	椰子蟹
330019	臺灣爺蟬
330463	妖艷吉丁蟲
332967	碎斑硬象鼻蟲
333007	白點球背象鼻蟲
333008	條紋球背象鼻蟲
333009	斷紋球背象鼻蟲
333011	大圓斑球背象鼻蟲
333012	小圓斑球背象鼻蟲
333223	虹彩叩頭蟲
333823	黃胸黑翅螢
333826	鹿野氏黑脈螢
333940	臺灣大鍬形蟲
333944	長角大鍬形蟲
334538	長臂金龜
347195	大紫蛺蝶
347269	臺灣寬尾鳳蝶
347270	曙鳳蝶
347305	黃裳鳳蝶
347308	珠光裳鳳蝶
348239	無霸勾蜓
348436	津田氏大頭竹節蟲
380048	諸羅樹蛙
380049	橙腹樹蛙
380051	翡翠樹蛙
380052	臺北樹蛙
380053	阿里山山椒魚
380054	臺灣山椒魚
380055	楚南氏山椒魚
380056	鴛鴦
380062	花臉鴨
380096	蒼鷹
380097	日本松雀鷹
380098	北雀鷹
380099	赤腹鷹
380100	鳳頭蒼鷹
380101	松雀鷹
380102	禿鷲
380103	花鵰
380104	白肩鵰
380105	灰面鵟鷹
380106	鵟
380107	毛足鵟
380108	灰鷂
380109	鵲鷂
380110	東方澤鷂
380111	白尾海鵰
380112	白腹海鵰
380113	林鵰
380115	魚鷹
380117	蛇鵰
380118	熊鷹
380128	唐白鷺
380132	麻鷺
380153	黑鸛
380154	灰背隼
380155	遊隼
380156	燕隼
380157	紅隼
380162	燕鴴
380163	水雉
380164	白頂玄燕鷗
380174	黑嘴鷗
380178	小燕鷗
380179	白眉燕鷗
380180	鳳頭燕鷗
380182	粉紅燕鷗
380186	黑枕燕鷗
380210	彩鷸
380223	琵嘴鷸
380225	大田鷸
380230	半蹼鷸
380235	白腰杓鷸
380248	諾氏鷸
380257	朱鹮
380258	白琵鷺
380259	黑面琵鷺
380260	黑頭白鹮
380270	紅頭綠鳩
380285	臺灣山鷓鴣
380287	藍胸鶉
380289	藍腹鷴
380290	環頸雉
380291	黑長尾雉
380292	灰鶴
380293	丹頂鶴
380294	白頭鶴
380295	白枕鶴
380317	花翅山椒
380330	黃鸝
380331	朱鸝
380335	紫壽帶
380336	臺灣藍鵲
380368	紅尾伯勞
380375	小剪尾
380392	黃腹仙鶲
380408	白頭鶇
380414	黃山雀
380416	青背山雀
380434	山麻雀
380436	仙八色鶇
380440	烏頭翁
380442	臺灣戴菊
380445	八哥
380455	臺灣斑翅鶥
380463	白喉噪鶥
380466	棕噪鶥
380492	大赤啄木
380494	綠啄木
380497	短耳鴞
380498	長耳鴞
380499	領鵂鶹
380500	黃魚鴞
380501	褐鷹鴞
380502	領角鴞
380503	優雅角鴞
380505	黃嘴角鴞
380506	灰林鴞
380507	褐林鴞
380515	臺灣山羌
380518	臺灣雲豹
380520	水獺
380521	黃喉貂
380523	臺灣小黃鼠狼
380525	臺灣黑熊
380526	白鼻心
380527	麝香貓
380528	小鬚鯨
380529	鰮鯨
380530	鯷鯨
380531	長鬚鯨
380532	大翅鯨
380534	小虎鯨
380535	短肢領航鯨
380536	瑞氏海豚
380537	弗氏海豚
380538	虎鯨
380539	瓜頭鯨
380540	偽虎鯨
380541	中華白海豚
380542	熱帶斑海豚
380543	條紋海豚
380544	長吻飛旋海豚
380545	糙齒海豚
380546	印太瓶鼻海豚
380547	瓶鼻海豚
380548	灰鯨
380549	小抹香鯨
380550	侏儒抹香鯨
380551	江豚
380552	抹香鯨
380554	柏氏中喙鯨
380555	銀杏齒中喙鯨
380556	柯氏喙鯨
380557	臺灣無尾葉鼻蝠
380560	臺灣狐蝠
380580	水鼩
380589	穿山甲
380590	臺灣獼猴
380610	金龜
380611	食蛇龜
380612	柴棺龜
380614	赤蠵龜
380615	綠蠵龜
380616	玳瑁
380617	欖蠵龜
380618	革龜
380621	短肢攀蜥
380622	呂氏攀蜥
380623	牧氏攀蜥
380627	蛇蜥
380630	金絲蛇
380639	高砂蛇
380641	錦蛇
380642	唐水蛇
380643	水蛇
380654	斯文豪氏游蛇
380655	臺灣赤煉蛇
380657	赤腹游蛇
380661	雨傘節
380664	眼鏡蛇
380667	菊池氏壁虎
380674	雅美鱗趾虎
380686	梭德氏草蜥
380702	百步蛇
380703	阿里山龜殼花
380704	菊池氏龜殼花
380705	龜殼花
380707	鎖蛇
380992	臺東間爬岩鰍
380993	埔里中華爬岩鰍
381020	臺灣副細鯽
381023	臺灣梅氏鯿
381024	大鱗梅氏鯿
381028	飯島氏銀鮈
382788	臺灣櫻花鉤吻鮭
382917	臺灣鮰
383544	南臺中華爬岩鰍
385000	真海豚
385001	大村鯨
385002	藍鯨
385003	布氏鯨
385010	黑嘴端鳳頭燕鷗
395247	巴氏銀鮈
402472	霧社深山天牛
404411	蘭嶼大葉螽蟴
404547	縱紋腹小鴞
404548	黑冠鵑隼
404551	大鵟
404565	東方白鸛
404578	黑翅鳶
404581	繡眼鵐
404587	紅腳隼
404588	黃爪隼
404589	臺灣畫眉
404590	栗鳶
404610	黑鳶
404622	東方角鴞
404624	卷羽鵜鶘
404628	東方蜂鷹
404630	短尾信天翁
404632	黑腳信天翁
404634	飯島柳鶯
404650	鉛色水鴝
404671	草鴞
413087	觀霧山椒魚
413088	南湖山椒魚
