name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
201093	Plantae	Coniferophyta	Pinopsida	Taxales	Taxaceae	Amentotaxus	formosana		Li, 1952	Amentotaxus formosana  Li, 1952	species
201098	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	chinensis	taiwanensis	L.	Juniperus chinensis taiwanensis L.	subspecies
201103	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Keteleeria	davidiana	formosana	(Franchet) Beissner	Keteleeria davidiana formosana (Franchet) Beissner	subspecies
203293	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	hayatae		Palib. ex Hayata, 1911	Fagus hayatae  Palib. ex Hayata, 1911	species
203782	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium	nankotaizanense		Yamamoto, 1926	Epilobium nankotaizanense  Yamamoto, 1926	species
310883	Animalia	Arthropoda	Malacostraca	Decapoda	Coenobitidae	Birgus	latro		(Linnaeus, 1767)	Birgus latro  (Linnaeus, 1767)	species
330019	Animalia	Arthropoda	Insecta	Hemiptera	Cicadidae	Formotosena	seebohmi		(Distant, 1904)	Formotosena seebohmi  (Distant, 1904)	species
330463	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Buprestis (Akiyamaia)	mirabilis		Kurosawa, 1969	Buprestis (Akiyamaia) mirabilis  Kurosawa, 1969	species
332967	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Kashotonus	multipunctatus		Kôno, 1942b	Kashotonus multipunctatus  Kôno, 1942b	species
333007	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pachyrrhynchus	insularis		Kano, 1929	Pachyrrhynchus insularis  Kano, 1929	species
333008	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pachyrrhynchus	sonani		Kôono, 1930	Pachyrrhynchus sonani  Kôono, 1930	species
333009	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pachyrrhynchus	yamianus		Kano, 1929	Pachyrrhynchus yamianus  Kano, 1929	species
333011	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pachyrrhynchus	kotoensis		Kôno, 1930	Pachyrrhynchus kotoensis  Kôno, 1930	species
333012	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Pachyrrhynchus	tobafolius		Kano, 1929	Pachyrrhynchus tobafolius  Kano, 1929	species
333223	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Campsosternus	watanabei		Miwa, 1927	Campsosternus watanabei  Miwa, 1927	species
333823	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Luciola	hydrophila		Jeng, Lai & Yang 2003	Luciola hydrophila  Jeng, Lai & Yang 2003	species
333826	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Pristolycus	kanoi		Nakane, 1968	Pristolycus kanoi  Nakane, 1968	species
333940	Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae	Dorcus	formosanus		Miwa, 1929	Dorcus formosanus  Miwa, 1929	species
333944	Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae	Dorcus	schenkingi		Mollenkamp, 1913	Dorcus schenkingi  Mollenkamp, 1913	species
334538	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Cheirotonus	formosanus		Ohaus, 1913	Cheirotonus formosanus  Ohaus, 1913	species
347195	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Sasakia	charonda	formosana	Shirôzu, 1963	Sasakia charonda formosana Shirôzu, 1963	subspecies
347269	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Agehana	maraho		(Shiraki & Sonan, 1934)	Agehana maraho  (Shiraki & Sonan, 1934)	species
347270	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Atrophaneura	horishana		(Matsumura, 1910)	Atrophaneura horishana  (Matsumura, 1910)	species
347305	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Troides	aeacus	formosanus	(Rothschild, 1899)	Troides aeacus formosanus (Rothschild, 1899)	subspecies
347308	Animalia	Arthropoda	Insecta	Lepidoptera	Papilionidae	Troides	magellanus	sonani	Matsumura, 1932	Troides magellanus sonani Matsumura, 1932	subspecies
348239	Animalia	Arthropoda	Insecta	Odonata	Cordulegastridae	Anotogaster	sieboldii		(Selys, 1854)	Anotogaster sieboldii  (Selys, 1854)	species
348436	Animalia	Arthropoda	Insecta	Phasmida	Phasmatidae	Megacrania	tsudai		Shiraki, 1932	Megacrania tsudai  Shiraki, 1932	species
380048	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	arvalis		Lue, Lai, & Chen, 1995	Rhacophorus arvalis  Lue, Lai, & Chen, 1995	species
380049	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	aurantiventris		Lue, Lai, & Chen, 1994	Rhacophorus aurantiventris  Lue, Lai, & Chen, 1994	species
380051	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	prasinatus		Mou, Risch, & Lue, 1983	Rhacophorus prasinatus  Mou, Risch, & Lue, 1983	species
380052	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	taipeianus		Liang & Wang, 1978	Rhacophorus taipeianus  Liang & Wang, 1978	species
380053	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	arisanensis		Maki, 1922	Hynobius arisanensis  Maki, 1922	species
380054	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	formosanus		Maki, 1922	Hynobius formosanus  Maki, 1922	species
380055	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	sonani		(Maki, 1922)	Hynobius sonani  (Maki, 1922)	species
380056	Animalia	Chordata	Aves	Anseriformes	Anatidae	Aix	galericulata		(Linnaeus, 1758)	Aix galericulata  (Linnaeus, 1758)	species
380062	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas	formosa		Georgi, 1775	Anas formosa  Georgi, 1775	species
380096	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	gentilis	fujiyamae	(Linnaeus, 1758)	Accipiter gentilis fujiyamae (Linnaeus, 1758)	subspecies
380097	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	gularis	gularis	(Temminck & Schlegel, 1844)	Accipiter gularis gularis (Temminck & Schlegel, 1844)	subspecies
380098	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	nisus	nisosimilis	(Linnaeus, 1758)	Accipiter nisus nisosimilis (Linnaeus, 1758)	subspecies
380099	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	soloensis		(Horsfield, 1821)	Accipiter soloensis  (Horsfield, 1821)	species
380100	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	trivirgatus	formosae	(Temminck, 1824)	Accipiter trivirgatus formosae (Temminck, 1824)	subspecies
380101	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Accipiter	virgatus	fuscipectus	(Temminck, 1822)	Accipiter virgatus fuscipectus (Temminck, 1822)	subspecies
380102	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Aegypius	monachus		(Linnaeus, 1766)	Aegypius monachus  (Linnaeus, 1766)	species
380103	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Aquila	clanga		Pallas, 1811	Aquila clanga  Pallas, 1811	species
380104	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Aquila	heliaca		Savigny, 1809	Aquila heliaca  Savigny, 1809	species
380105	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Butastur	indicus		(J. F. Gmelin, 1788)	Butastur indicus  (J. F. Gmelin, 1788)	species
380106	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Buteo	buteo	japonicus	(Linnaeus, 1758)	Buteo buteo japonicus (Linnaeus, 1758)	subspecies
380107	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Buteo	lagopus	menzbieri	(Pontoppidan, 1763)	Buteo lagopus menzbieri (Pontoppidan, 1763)	subspecies
380108	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Circus	cyaneus	cyaneus	(Linnaeus, 1766)	Circus cyaneus cyaneus (Linnaeus, 1766)	subspecies
380109	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Circus	melanoleucos		(Pennant, 1769)	Circus melanoleucos  (Pennant, 1769)	species
380110	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Circus	spilonotus	spilonotus	Kaup, 1847	Circus spilonotus spilonotus Kaup, 1847	subspecies
380111	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Haliaeetus	albicilla	albicilla	(Linnaeus, 1758)	Haliaeetus albicilla albicilla (Linnaeus, 1758)	subspecies
380112	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Haliaeetus	leucogaster		(J. F. Gmelin, 1788)	Haliaeetus leucogaster  (J. F. Gmelin, 1788)	species
380113	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Ictinaetus	malayensis	malayensis	(Temminck, 1822)	Ictinaetus malayensis malayensis (Temminck, 1822)	subspecies
380115	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Pandion	haliaetus	haliaetus	(Linnaeus, 1758)	Pandion haliaetus haliaetus (Linnaeus, 1758)	subspecies
380117	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Spilornis	cheela	hoya	(Latham, 1790)	Spilornis cheela hoya (Latham, 1790)	subspecies
380118	Animalia	Chordata	Aves	Ciconiiformes	Accipitridae	Spizaetus	nipalensis	nipalensis	(Hodgson, 1836)	Spizaetus nipalensis nipalensis (Hodgson, 1836)	subspecies
380128	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Egretta	eulophotes		(Swinhoe, 1860)	Egretta eulophotes  (Swinhoe, 1860)	species
380132	Animalia	Chordata	Aves	Ciconiiformes	Ardeidae	Gorsachius	goisagi		(Temminck, 1835)	Gorsachius goisagi  (Temminck, 1835)	species
380153	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	nigra		(Linnaeus, 1758)	Ciconia nigra  (Linnaeus, 1758)	species
380154	Animalia	Chordata	Aves	Ciconiiformes	Falconidae	Falco	columbarius	insignis	Linnaeus, 1758	Falco columbarius insignis Linnaeus, 1758	subspecies
380155	Animalia	Chordata	Aves	Ciconiiformes	Falconidae	Falco	peregrinus	calidus	Tunstall, 1771	Falco peregrinus calidus Tunstall, 1771	subspecies
380156	Animalia	Chordata	Aves	Ciconiiformes	Falconidae	Falco	subbuteo	subbuteo	Linnaeus, 1758	Falco subbuteo subbuteo Linnaeus, 1758	subspecies
380157	Animalia	Chordata	Aves	Ciconiiformes	Falconidae	Falco	tinnunculus	tinnunculus	Linnaeus, 1758	Falco tinnunculus tinnunculus Linnaeus, 1758	subspecies
380162	Animalia	Chordata	Aves	Ciconiiformes	Glareolidae	Glareola	maldivarum		Forster, 1795	Glareola maldivarum  Forster, 1795	species
380163	Animalia	Chordata	Aves	Ciconiiformes	Jacanidae	Hydrophasianus	chirurgus		(Scopoli, 1786)	Hydrophasianus chirurgus  (Scopoli, 1786)	species
380164	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Anous	stolidus	pileatus	(Linnaeus, 1758)	Anous stolidus pileatus (Linnaeus, 1758)	subspecies
