name_code	common_name	type_id
200002	玉山黑蘚	1
200006	臺灣黑蘚	1
200185	臺灣曲柄蘚	1
200747	皺葉假黃蘚	1
200813	逆毛蘚	1
201092	臺東蘇鐵	1
201093	臺灣穗花杉	1
201094	臺灣粗榧	1
201096	紅檜	1
201102	臺灣冷杉	1
201104	臺灣雲杉	1
201107	臺灣五葉松	1
201108	臺灣二葉松	1
201109	臺灣黃杉	1
201114	叢花百日青	1
201118	桃實百日青	1
201120	巒大杉	1
201121	臺灣杉	1
201131	臺灣魔芋	1
201132	密毛魔芋	1
201136	臺灣天南星	1
201137	毛筆天南星	1
201139	宜蘭天南星	1
201140	線花天南星	1
201141	南仁山天南星	1
201143	短梗天南星	1
201144	蓬萊天南星	1
201145	東台天南星	1
201148	臺灣青芋	1
201151	臺灣拎樹藤	1
201153	基隆扁葉芋	1
201165	蘭嶼芋	1
201177	臺灣水藤	1
201178	黃藤	1
201182	山檳榔	1
201185	川上氏鴨舌疝	1
201202	桃園草	1
201231	茶色扁果薹	1
201243	夢佳宿柱薹	1
201246	森氏薹	1
201249	直蕊宿柱薹	1
201254	太魯閣薹	1
201264	臺灣疏花薹	1
201267	扁果薹	1
201318	臺北飄拂草	1
201319	臺南飄拂草	1
201326	白穗飄拂草	1
201328	知本飄拂草	1
201382	臺灣鵝觀草	1
201385	阿里山翦股穎	1
201386	草山翦股穎	1
201387	伯明翦股穎	1
201388	玉山翦股穎	1
201400	粗梗藎草	1
201402	內門竹	1
201419	長枝竹	1
201420	火廣竹	1
201424	長毛八芝蘭竹	1
201425	八芝蘭竹	1
201427	烏葉竹	1
201438	川上短柄草	1
201442	臺灣雀麥	1
201448	綠島細柄草	1
201472	水山野青茅	1
201476	佛歐里馬唐	1
201482	大絨馬唐	1
201483	絨馬唐	1
201487	絹毛馬唐	1
201494	臺灣油芒	1
201507	佛歐里畫眉草	1
201516	毛葉知風草	1
201522	臺灣蔗草	1
201532	臺灣羊茅	1
201538	銳穎葛氏草	1
201558	屏東鴨嘴草	1
201559	芒穗鴨嘴草	1
201560	毛穗鴨嘴草	1
201568	小黃金鴨嘴草	1
201570	囊桴竹	1
201582	法利莠竹	1
201583	曲膝莖莠竹	1
201584	短軸莠竹	1
201643	石竹	1
201650	臺灣早熟禾	1
201651	南湖大山早熟禾	1
201653	高山早熟禾	1
201654	高砂早熟禾	1
201655	細桿早熟禾	1
201662	包籜箭竹	1
201671	尖葉裂稃草	1
201686	臺灣矢竹	1
201695	臺南大油芒	1
201700	其昌假蛇尾草	1
201709	臺灣三毛草	1
201743	玉山燈心草	1
201748	臺灣地楊梅	1
201765	掌葉薯	1
201775	圓錐花薯蕷	1
201784	臺灣射干	1
201785	臺灣鳶尾	1
201786	南投鳶尾	1
201789	臺灣粉條兒菜	1
201791	玉山蒜	1
201795	臺灣蜘蛛抱蛋	1
201799	阿里山假寶鐸花	1
201800	臺灣假寶鐸花	1
201801	臺灣寶鐸花	1
201802	南投寶鐸花	1
201804	紅花寶鐸花	1
201805	臺灣胡麻花	1
201809	臺灣百合	1
201810	粗莖麝香百合	1
201812	細葉麥門冬	1
201819	七葉一枝花	1
201820	狹葉七葉一枝花	1
201821	臺東七葉一枝花	1
201826	臺灣黃精	1
201827	清水山黃精	1
201829	萬年青	1
201833	臺灣油點草	1
201834	大花油點草	1
201835	毛果油點草	1
201836	卵葉油點草	1
201837	山油點草	1
201838	鈴木油點草	1
201839	臺灣延齡草	1
201841	臺灣藜蘆	1
201842	雪山黎蘆	1
201849	臺中假土茯苓	1
201858	早田氏菝葜	1
201859	密刺菝葜	1
201861	呂氏菝葜	1
201863	南投菝葜	1
201870	水蕹	1
201901	南湖雛蘭	1
201905	臺灣金線蓮	1
201906	恆春金線蓮	1
201909	臺灣竹葉蘭	1
201912	鹿角蘭	1
201918	小豆蘭	1
201927	紫紋捲瓣蘭	1
201934	紅心豆蘭	1
201935	鸛冠蘭	1
201936	臺灣捲瓣蘭	1
201937	小葉豆蘭	1
201941	輻形根節蘭	1
201946	阿里山根節蘭	1
201959	高山頭蕊蘭	1
201967	羽唇指柱蘭	1
201968	東部線柱蘭	1
201970	和社指柱蘭	1
201979	紅盔蘭	1
201993	竹柏蘭	1
201994	綠花竹柏蘭	1
201995	大竹柏蘭	1
201998	臺灣喜普鞋蘭	1
202000	寶島喜普鞋蘭	1
202008	雙花石斛	1
202014	小雙花石斛	1
202023	蠟著頦蘭	1
202024	臺灣鈴蘭	1
202045	輻射暫花蘭	1
202050	紅斑松蘭	1
