name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
200002	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	Andreaea	morrisonensis		Nog., 1936	Andreaea morrisonensis  Nog., 1936	species
200006	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	Andreaea	taiwanensis		T.Y. Chiang , 1998	Andreaea taiwanensis  T.Y. Chiang , 1998	species
200185	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Campylopus	taiwanensis		Sak., 1941	Campylopus taiwanensis  Sak., 1941	species
200747	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Actinodontium	rhaphidostegum		(C. Muell.) Bosch & Lac., 1862	Actinodontium rhaphidostegum  (C. Muell.) Bosch & Lac., 1862	species
200813	Plantae	Bryophyta	Bryopsida	Leucodontales	Leucodontaceae	Antitrichia	curtipendula		(Hedw.) Brid., 1819[1818].	Antitrichia curtipendula  (Hedw.) Brid., 1819[1818].	species
201092	Plantae	Cycadophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	taitungensis		C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen, 1994	Cycas taitungensis  C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen, 1994	species
201093	Plantae	Coniferophyta	Pinopsida	Taxales	Taxaceae	Amentotaxus	formosana		Li, 1952	Amentotaxus formosana  Li, 1952	species
201094	Plantae	Coniferophyta	Pinopsida	Pinales	Cephalotaxaceae	Cephalotaxus	wilsoniana		Hayata, 1914	Cephalotaxus wilsoniana  Hayata, 1914	species
201096	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Chamaecyparis	formosensis		Matsum., 1901	Chamaecyparis formosensis  Matsum., 1901	species
201102	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Abies	kawakamii		(Hayata) Ito, 1909	Abies kawakamii  (Hayata) Ito, 1909	species
201104	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Picea	morrisonicola		Hayata, 1908	Picea morrisonicola  Hayata, 1908	species
201107	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	morrisonicola		Hayata, 1908	Pinus morrisonicola  Hayata, 1908	species
201108	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	taiwanensis		Hayata, 1911	Pinus taiwanensis  Hayata, 1911	species
201109	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pseudotsuga	wilsoniana		Hayata, 1915	Pseudotsuga wilsoniana  Hayata, 1915	species
201114	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	fasciculus		de Laubenfels, 1985	Podocarpus fasciculus  de Laubenfels, 1985	species
201118	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	nakaii		Hayata, 1916	Podocarpus nakaii  Hayata, 1916	species
201120	Plantae	Coniferophyta	Pinopsida	Pinales	Taxodiaceae	Cunninghamia	konishii		Hayata, 1908	Cunninghamia konishii  Hayata, 1908	species
201121	Plantae	Coniferophyta	Pinopsida	Pinales	Taxodiaceae	Taiwania	cryptomerioides		Hayata, 1906	Taiwania cryptomerioides  Hayata, 1906	species
201131	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Amorphophallus	henryi		N. E. Br., 1903	Amorphophallus henryi  N. E. Br., 1903	species
201132	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Amorphophallus	hirtus		N. E. Br., 1903	Amorphophallus hirtus  N. E. Br., 1903	species
201136	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	formosanum		(Hayata) Hayata, 1915	Arisaema formosanum  (Hayata) Hayata, 1915	species
201137	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	grapsospadix		Hayata, 1915	Arisaema grapsospadix  Hayata, 1915	species
201139	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	ilanense		J. C. Wang, 1996	Arisaema ilanense  J. C. Wang, 1996	species
201140	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	matsudae		Hayata, 1920	Arisaema matsudae  Hayata, 1920	species
201141	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	nanjenense		T. C. Huang & M. J. Wu, 1997	Arisaema nanjenense  T. C. Huang & M. J. Wu, 1997	species
201143	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	taiwanense	brevipedunculatum	J. Murata	Arisaema taiwanense brevipedunculatum J. Murata	subspecies
201144	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	taiwanense		J. Murata, 1985	Arisaema taiwanense  J. Murata, 1985	species
201145	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Arisaema	thunbergii	autumnale	J. Murata	Arisaema thunbergii autumnale J. Murata	subspecies
201148	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Colocasia	formosana		Hayata, 1919	Colocasia formosana  Hayata, 1919	species
201151	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Epipremnum	formosanum		Hayata, 1915	Epipremnum formosanum  Hayata, 1915	species
201153	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Homalomena	kelungensis		Hayata, 1919	Homalomena kelungensis  Hayata, 1919	species
201165	Plantae	Magnoliophyta	Liliopsida	Arales	Araceae	Schismatoglottis	kotoensis		(Hayata) T. C. Huang, J. L. Hsiao & H. Y. Yeh, 2000	Schismatoglottis kotoensis  (Hayata) T. C. Huang, J. L. Hsiao & H. Y. Yeh, 2000	species
201177	Plantae	Magnoliophyta	Liliopsida	Arecales	Arecaceae	Calamus	formosanus		Becc., 1902	Calamus formosanus  Becc., 1902	species
201178	Plantae	Magnoliophyta	Liliopsida	Arecales	Arecaceae	Calamus	formsanus		Becc. 1902	Calamus formsanus  Becc. 1902	species
201182	Plantae	Magnoliophyta	Liliopsida	Arecales	Arecaceae	Pinanga	tashiroi		Hayata, 1913	Pinanga tashiroi  Hayata, 1913	species
201185	Plantae	Magnoliophyta	Liliopsida	Commelinales	Commelinaceae	Belosynapsis	kawakamii		(Hayata) C. I Peng & Y. J. Chen, 2000	Belosynapsis kawakamii  (Hayata) C. I Peng & Y. J. Chen, 2000	species
201202	Plantae	Magnoliophyta	Liliopsida	Commelinales	Xyridaceae	Xyris	formosana		Hayata, 1915	Xyris formosana  Hayata, 1915	species
201231	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	fulvorubescens		Hayata, 1911	Carex fulvorubescens  Hayata, 1911	species
201243	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	manca	takasagoana	Boota	Carex manca takasagoana Boota	subspecies
201246	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	morii		Hayata, 1916	Carex morii  Hayata, 1916	species
201249	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	orthostemon		Hayata, 1911	Carex orthostemon  Hayata, 1911	species
201254	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	purpureotincta		Ohwi, 1933	Carex purpureotincta  Ohwi, 1933	species
201264	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	taiwanensis		(Ohwi) Akiyama, 1955	Carex taiwanensis  (Ohwi) Akiyama, 1955	species
201267	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Carex	urelytra		Ohwi, 1934	Carex urelytra  Ohwi, 1934	species
201318	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Fimbristylis	microcarya	microcarya	F. Muell.	Fimbristylis microcarya microcarya F. Muell.	subspecies
201319	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Fimbristylis	microcarya	tainanensis	F. Muell.	Fimbristylis microcarya tainanensis F. Muell.	subspecies
201326	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Fimbristylis	shimadana		Ohwi, 1936	Fimbristylis shimadana  Ohwi, 1936	species
201328	Plantae	Magnoliophyta	Liliopsida	Cyperales	Cyperaceae	Fimbristylis	subinclinata		T. Koyama, 1967	Fimbristylis subinclinata  T. Koyama, 1967	species
201382	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Agropyron	formosanum		Honda, 1927	Agropyron formosanum  Honda, 1927	species
201385	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Agrostis	infirma	arisan-montana	Miq.	Agrostis infirma arisan-montana Miq.	subspecies
201386	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Agrostis	infirma	formosana	Miq.	Agrostis infirma formosana Miq.	subspecies
201387	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Agrostis	infirma	fukuyamae	Miq.	Agrostis infirma fukuyamae Miq.	subspecies
201388	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Agrostis	infirma	infirma	Miq.	Agrostis infirma infirma Miq.	subspecies
201400	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Arthraxon	pauciflorus		Honda, 1925	Arthraxon pauciflorus  Honda, 1925	species
201402	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Arthrostylidium	naibunensis		(Hayata) W. C. Lin, 1978	Arthrostylidium naibunensis  (Hayata) W. C. Lin, 1978	species
201419	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bambusa	dolichoclada		Hayata, 1916	Bambusa dolichoclada  Hayata, 1916	species
201420	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bambusa	dolichomerithalla		Hayata, 1916	Bambusa dolichomerithalla  Hayata, 1916	species
201424	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bambusa	pachinensis	hirsutissima	Hayata	Bambusa pachinensis hirsutissima Hayata	subspecies
201425	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bambusa	pachinensis	pachinensis	Hayata, 1916	Bambusa pachinensis pachinensis Hayata, 1916	subspecies
201427	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bambusa	utilis		Lin, 1964	Bambusa utilis  Lin, 1964	species
201438	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Brachypodium	kawakamii		Hayata, 1907	Brachypodium kawakamii  Hayata, 1907	species
201442	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Bromus	formosanus		Honda, 1928	Bromus formosanus  Honda, 1928	species
201448	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Capillipedium	kwashotensis		(Hayata) C. C. Hsu, 1962	Capillipedium kwashotensis  (Hayata) C. C. Hsu, 1962	species
201472	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Deyeuxia	suizanensis		(Hayata) Ohwi, 1958	Deyeuxia suizanensis  (Hayata) Ohwi, 1958	species
201476	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Digitaria	fauriei		Ohwi, 1942	Digitaria fauriei  Ohwi, 1942	species
201482	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Digitaria	magna		(Honda) Tsuyama, 1942	Digitaria magna  (Honda) Tsuyama, 1942	species
201483	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Digitaria	mollicoma		(Kunth) Henrard, 1934	Digitaria mollicoma  (Kunth) Henrard, 1934	species
201487	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Digitaria	sericea		(Honda) Honda, 1930	Digitaria sericea  (Honda) Honda, 1930	species
201494	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Eccoilopus	formosanus		(Rendle) A. Camus, 1923	Eccoilopus formosanus  (Rendle) A. Camus, 1923	species
201507	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Eragrostis	fauriei		Ohwi, 1941	Eragrostis fauriei  Ohwi, 1941	species
201516	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Eragrostis	pilosiuscula		Ohwi, 1941	Eragrostis pilosiuscula  Ohwi, 1941	species
201522	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Erianthus	formosanus		Stapf, 1898	Erianthus formosanus  Stapf, 1898	species
201532	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Festuca	formosana		Honda, 1928	Festuca formosana  Honda, 1928	species
201538	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Garnotia	acutigluma		(Steud.) Ohwi, 1941	Garnotia acutigluma  (Steud.) Ohwi, 1941	species
201558	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Ischaemum	akonense		Honda, 1923	Ischaemum akonense  Honda, 1923	species
201559	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Ischaemum	aristatum	aristatum	L.	Ischaemum aristatum aristatum L.	subspecies
201560	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Ischaemum	aristatum	momiyamai	L.	Ischaemum aristatum momiyamai L.	subspecies
201568	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Ischaemum	setaceum		Honda, 1923	Ischaemum setaceum  Honda, 1923	species
201570	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Leptaspis	formosana		C. C. Hsu, 1971	Leptaspis formosana  C. C. Hsu, 1971	species
201582	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Microstegium	fauriei		(Hayata) Honda, 1930	Microstegium fauriei  (Hayata) Honda, 1930	species
201583	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Microstegium	geniculatum		(Hayata) Honda, 1930	Microstegium geniculatum  (Hayata) Honda, 1930	species
201584	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Microstegium	glaberrimum		(Honda) Koidz., 1929	Microstegium glaberrimum  (Honda) Koidz., 1929	species
201643	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Phyllostachys	lithophila		Hayata, 1916	Phyllostachys lithophila  Hayata, 1916	species
201650	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Poa	formosae		Ohwi, 1934	Poa formosae  Ohwi, 1934	species
201651	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Poa	nankoensis		Ohwi, 1933	Poa nankoensis  Ohwi, 1933	species
201653	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Poa	taiwanicola		Ohwi, 1937	Poa taiwanicola  Ohwi, 1937	species
201654	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Poa	takasagomontana		Ohwi, 1934	Poa takasagomontana  Ohwi, 1934	species
201655	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Poa	tenuicula		Ohwi, 1934	Poa tenuicula  Ohwi, 1934	species
201662	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Pseudosasa	usawae		(Hayata.) Makino & Nemoto, 1931	Pseudosasa usawae  (Hayata.) Makino & Nemoto, 1931	species
201671	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Schizachyrium	fragile	shimadae	(R. Br.)	Schizachyrium fragile shimadae (R. Br.)	subspecies
201686	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Sinobambusa	kunishii		(Hayata) Nakai, 1932	Sinobambusa kunishii  (Hayata) Nakai, 1932	species
201695	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Spodiopogon	tainanensis		Hayata, 1907	Spodiopogon tainanensis  Hayata, 1907	species
201700	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Thaumastochloa	chenii		C. C. Hsu, 1971	Thaumastochloa chenii  C. C. Hsu, 1971	species
201709	Plantae	Magnoliophyta	Liliopsida	Cyperales	Poaceae	Trisetum	spicatum	formosanum	(L.) Rich.	Trisetum spicatum formosanum (L.) Rich.	subspecies
201743	Plantae	Magnoliophyta	Liliopsida	Juncales	Juncaceae	Juncus	triflorus		Ohwi, 1937	Juncus triflorus  Ohwi, 1937	species
201748	Plantae	Magnoliophyta	Liliopsida	Juncales	Juncaceae	Luzula	taiwaniana		Satake, 1933	Luzula taiwaniana  Satake, 1933	species
201765	Plantae	Magnoliophyta	Liliopsida	Liliales	Dioscoreaceae	Dioscorea	codonopsidifolia		Kamikoti, 1935	Dioscorea codonopsidifolia  Kamikoti, 1935	species
201775	Plantae	Magnoliophyta	Liliopsida	Liliales	Dioscoreaceae	Dioscorea	kaoi		T. S. Liu & T. C. Huang, 1960	Dioscorea kaoi  T. S. Liu & T. C. Huang, 1960	species
201784	Plantae	Magnoliophyta	Liliopsida	Liliales	Iridaceae	Belamcanda	chinensis	taiwanensis	(L.) DC.	Belamcanda chinensis taiwanensis (L.) DC.	subspecies
201785	Plantae	Magnoliophyta	Liliopsida	Liliales	Iridaceae	Iris	formosana		Ohwi, 1934	Iris formosana  Ohwi, 1934	species
201786	Plantae	Magnoliophyta	Liliopsida	Liliales	Iridaceae	Iris	nantouensis		S. S. Ying, 1987	Iris nantouensis  S. S. Ying, 1987	species
201789	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Aletris	formosana		(Hayata) Sasaki, 1928	Aletris formosana  (Hayata) Sasaki, 1928	species
201791	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Allium	bakeri	morrisonense	Regel	Allium bakeri morrisonense Regel	subspecies
201795	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Aspidistra	elatior	attenuata	Blume	Aspidistra elatior attenuata Blume	subspecies
201799	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Disporopsis	fuscopicta	arisanensis	Hance	Disporopsis fuscopicta arisanensis Hance	subspecies
201800	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Disporopsis	taiwanensis		S. S. Ying, 1989	Disporopsis taiwanensis  S. S. Ying, 1989	species
201801	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Disporum	kawakamii		Hayata, 1911	Disporum kawakamii  Hayata, 1911	species
201802	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Disporum	nantouense		S. S. Ying, 1990	Disporum nantouense  S. S. Ying, 1990	species
201804	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Disporum	taiwanense		S. S. Ying, 1989	Disporum taiwanense  S. S. Ying, 1989	species
201805	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Helonias	umbellata		(Baker) N. Tanaka, 1998	Helonias umbellata  (Baker) N. Tanaka, 1998	species
201809	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Lilium	formosanum		Wallace, 1880	Lilium formosanum  Wallace, 1880	species
201810	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Lilium	longiflorum	scabrum	Thunb.	Lilium longiflorum scabrum Thunb.	subspecies
201812	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Liriope	minor	angustissima	(Ohwi) S.S.Ying	Liriope minor angustissima (Ohwi) S.S.Ying	subspecies
201819	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Paris	polyphylla		Smith, 1860	Paris polyphylla  Smith, 1860	species
201820	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Paris	polyphylla	stenophylla	Smith	Paris polyphylla stenophylla Smith	subspecies
201821	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Paris	polyphylla	taitungensis	Smith	Paris polyphylla taitungensis Smith	subspecies
201826	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Polygonatum	alte-lobatum		Hayata, 1915	Polygonatum alte-lobatum  Hayata, 1915	species
201827	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Polygonatum	chingshuishanianum		S. S. Ying, 1988	Polygonatum chingshuishanianum  S. S. Ying, 1988	species
201829	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Rohdea	japonica	watanabei	(Thunb.) Roth.	Rohdea japonica watanabei (Thunb.) Roth.	subspecies
201833	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	formosana	formosana	Baker	Tricyrtis formosana formosana Baker	subspecies
201834	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	formosana	grandiflora	Baker	Tricyrtis formosana grandiflora Baker	subspecies
201835	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	formosana	lasiocarpa	Baker	Tricyrtis formosana lasiocarpa Baker	subspecies
201836	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	formosana	ovatifolia	Baker	Tricyrtis formosana ovatifolia Baker	subspecies
201837	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	formosana	stolonifera	Baker	Tricyrtis formosana stolonifera Baker	subspecies
201838	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Tricyrtis	suzukii		Masam., 1931	Tricyrtis suzukii  Masam., 1931	species
201839	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Trillium	taiwanense		Ying, 1989	Trillium taiwanense  Ying, 1989	species
201841	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Veratrum	formosanum		Loesen. f., 1926	Veratrum formosanum  Loesen. f., 1926	species
201842	Plantae	Magnoliophyta	Liliopsida	Liliales	Liliaceae	Veratrum	shueshanarum		S. S. Ying, 1988	Veratrum shueshanarum  S. S. Ying, 1988	species
201849	Plantae	Magnoliophyta	Liliopsida	Liliales	Smilacaceae	Heterosmilax	seisuiensis		(Hayata) F. T. Wang & T. Tang, 1934	Heterosmilax seisuiensis  (Hayata) F. T. Wang & T. Tang, 1934	species
201858	Plantae	Magnoliophyta	Liliopsida	Liliales	Smilacaceae	Smilax	hayatae		T. Koyama, 1957	Smilax hayatae  T. Koyama, 1957	species
201859	Plantae	Magnoliophyta	Liliopsida	Liliales	Smilacaceae	Smilax	horridiramula		Hayata, 1920	Smilax horridiramula  Hayata, 1920	species
201861	Plantae	Magnoliophyta	Liliopsida	Liliales	Smilacaceae	Smilax	luei		T. Koyama, 1975	Smilax luei  T. Koyama, 1975	species
201863	Plantae	Magnoliophyta	Liliopsida	Liliales	Smilacaceae	Smilax	nantoensis		T. Koyama, 1975	Smilax nantoensis  T. Koyama, 1975	species
201870	Plantae	Magnoliophyta	Liliopsida	Najadales	Aponogetonaceae	Aponogeton	taiwanensis		Masam., 1941	Aponogeton taiwanensis  Masam., 1941	species
201901	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Amitostigma	alpestre		Fukuy., 1935	Amitostigma alpestre  Fukuy., 1935	species
201905	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Anoectochilus	formosanus		Hayata, 1914	Anoectochilus formosanus  Hayata, 1914	species
201906	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Anoectochilus	koshunensis		Hayata, 1914	Anoectochilus koshunensis  Hayata, 1914	species
201909	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Appendicula	reflexa		Blume, 1825	Appendicula reflexa  Blume, 1825	species
201912	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Ascocentrum	pumilum		(Hayata) Schltr., 1919	Ascocentrum pumilum  (Hayata) Schltr., 1919	species
201918	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	aureolabellum		T. P. Lin, 1975	Bulbophyllum aureolabellum  T. P. Lin, 1975	species
201927	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	melanoglossum		Hayata, 1914	Bulbophyllum melanoglossum  Hayata, 1914	species
201934	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	rubrolabellum		T. P. Lin, 1975	Bulbophyllum rubrolabellum  T. P. Lin, 1975	species
201935	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	setaceum		T. P. Lin, 1975	Bulbophyllum setaceum  T. P. Lin, 1975	species
201936	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	taiwanense		(Fukuy.) Seidenf., 1973	Bulbophyllum taiwanense  (Fukuy.) Seidenf., 1973	species
201937	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Bulbophyllum	tokioi		Fukuy., 1935	Bulbophyllum tokioi  Fukuy., 1935	species
201941	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Calanthe	actinomorpha		Fukuy., 1935	Calanthe actinomorpha  Fukuy., 1935	species
201946	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Calanthe	arisanensis		Hayata, 1911	Calanthe arisanensis  Hayata, 1911	species
201959	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Cephalanthera	alpicola		Fukuy., 1938	Cephalanthera alpicola  Fukuy., 1938	species
201967	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Cheirostylis	octodactyla		Ames, 1907	Cheirostylis octodactyla  Ames, 1907	species
201968	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Cheirostylis	tabiyahanensis		(Hayata) Pearce & Cribb, 1999	Cheirostylis tabiyahanensis  (Hayata) Pearce & Cribb, 1999	species
201970	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Cheirostylis	tortilacinia		C. S. Leou, 1990	Cheirostylis tortilacinia  C. S. Leou, 1990	species
201979	Plantae	Magnoliophyta	Liliopsida	Orchidales	Orchidaceae	Corybas	taiwanensis		T. P. Lin & S. Y. Leu, 1975	Corybas taiwanensis  T. P. Lin & S. Y. Leu, 1975	species
