name_code	description
380739	<i>Cirrimaxilla</i> is distinguished from other genera of Muraenidae by having the following characters: many cirri on both jaws, lower jaw protruding, rim of posterior nostrils petal-like, hooked fang-like teeth, obscure branchial pore, and small adult size. <i>C. formosa</i> is characterized by having a relatively large mouth, sharp snout, shorter tail length, 132 total vertebrae, 76 preanus vertebrae, dorsal-fin origin above 114th vertebra, anal-fin origin below 117th vertebra, and body tawny with numerous brown tiger-like bands.
380766	Body length moderate. Dorsal fin moderately high, its origin started before the gill opening. Anus in front of mid-body point. Jaw teeth caniniform and almost uniserial. Body and fins darkish brown, scattering with numerous whitish snowflake-like patches. The skin of  peri-cranium area has many small whitish spots. Corner of mouth blackish. Anal fin margin white, edge of dorsal and caudal fin darkish.
380799	Anterior nostril tubule. Body long, cylindrical. Caudal fin soft and fin rays obvious. Pectoral fin noderately developed. All in one row; premaxillary teeth 5. Dorsal fin origin after behind anus over 3 of eye diameter.Total length 47.2 of body depth, 11.1 of head length; caudal length 1.7 of the length from head to trunk; head length 4.5 of snout length; snout length 2.8 of the diameter of eye; length of pectoral fin 0.6 of snout length. Rictus beyond rear margin of eye. Anal fin closely behind anus. Body grayish. Dorsal and anal white.Tip of anal dark brown.
380813	No scale. Pectoral fin present. Upper jaw longer than lower jaw. Premaxillary teeth absent. Upper jaw teeth small, in bands. Lower jaw large, in a row. Vomerine teeth compound, five. Dorsal fin origin posterior to pectoral fin.Vertebral formula 114-27-130. Total length 19.6 of body depth, 7.0 of head length; caudal length 3.2 of the length from head to trunk; head length 3.1 of snout length; snout length 4.5 of the diameter of the eye. Rictus over rear margin of the eye. Anus to gill slit shorter than head length.Tongue not free. Body color light brown. Dorsal and anal fin white (rear end of anal fin black); eye small in black.
380815	No scale. Pectoral fin present. Upper jaw longer than lower jaw. Premaxillary teeth 2. Upper jaw small, in a band; lower jaw teeth large, in a row. Vomerine teeth 5. Premaxillary teeth and vomerine teeth compound. Dorsal fin origin behind pectoral fin.Vertebrae 120. Total length 15.6 of body depth, 7.4 of head length; caudal length 6.7 of the length from head to trunk; head length 5.1 of snout length; snout length 3.3 of diameter of eye Rictus  posterior to rear of the eye. Eye small. caudal fin present. The length of anus to gill slit shorter than head length. Body color brown. Dorsal anal fin white.
380816	No scale. Pectoral fin well derdoped.  Upper jaw longer than lower jaw. Premaxillary teeth canine in a patch. Upper jaw teeth small in a band; lower jaw teeth small in a band; vomerine teeth conical, anterior five large, Posterior small, in a row. Dorsal fin origin hehind the anus. Vertebr 200-203. Total length 14.9 of body depth, 6.5 of head length; caudal length 3.4 of the length from head to trunk; head length 3.9 of snout length; snout length 3.3 of diameter of eye. Rictus beyond rear of eye. Eye large. Cadal fin present. Dorsal, anal fin confluent with caudal fin. The distance of anus to gill slit shorter than head length. Anterior nostril tubule,  posterior nostril hole, in advance of the eye.  Body color gray to brown, dorsal anal fin light brown.
380895	Body elongate and compressed, with greatly prolonged, beak-like lower jaw longer than head length; upper jaw short, triangular and scaly, its width 0.76 to 0.96 times in its length. With tricuspid teeth in both jaws. Preorbital ridge present; posterior branch to preorbital lateral-line canal absent. Total number of gill rakers on first gill arch 29 to 33. Dorsal-fin rays 13 to 16; anal-fin rays 14 to 17; pectoral fins short, with 10 or 11 rays; caudal fin emarginate, not strongly forked. Anterior part of dorsal and anal fins covered with scales; predorsal scales 52 to 61. Vertebrae 49-51. Body greenish above, the silvery lateral stripe widening posteriorly, white ventrally; fleshy tip of beak reddish.
380906	Dorsal fin with VI spines, 13 soft rays. Anal fin with IV spines, 16 rays. Caudal fin forked. Body covered with ctenoid scales. Belly center part with scutes. Body with light red, caudal fin dark red, abdomen with silver white color.
380913	Dorsal fin with XI spines and 14 soft rays; anal fin with IV spines and 12 soft rays. Big eye, body covered with reddish color, each fin with white in the edge. Taiwan endemic species.
380926	Dorsal fin with XII spines and 13 soft rays; anal fin with IV spines and 11 soft rays. Body uniformly light reddish, with big eye and mouth.
