name_code	common_name
201092	臺東蘇鐵
201093	臺灣穗花杉
201094	臺灣粗榧
201096	紅檜
201100	刺柏
201101	香青
201102	臺灣冷杉
201104	臺灣雲杉
201106	馬尾松
201107	臺灣五葉松
201108	臺灣二葉松
201112	竹柏
201113	蘭嶼羅漢松
201114	叢花百日青
201118	桃實百日青
201120	巒大杉
201121	臺灣杉
201182	山檳榔
201934	紅心豆蘭
201937	小葉豆蘭
201998	臺灣喜普鞋蘭
202059	高赤箭
202099	撬唇蘭
202294	臺灣八角金盤
202297	臺灣五葉參
202301	臺灣鵝掌柴
202340	瓜葉馬兜鈴
202746	阿里山冬青
202763	拉拉山冬青
202767	雪山冬青
202768	烏來冬青
202775	交趾衛矛
202780	淡綠葉衛矛
202846	蘭嶼柿
202852	楓港柿
202883	希蘭灰木
202887	褐毛灰木
202900	烏來杜鵑
202941	紅頭鐵莧
202946	花蓮鐵莧
203143	恆春皂莢
203179	臺灣馬鞍樹
203271	大葉苦儲
203289	波葉櫟
203293	臺灣水青岡
203301	臺灣石櫟
203317	槲樹
203328	臺灣念珠藤
203334	止瀉木
203424	小葉瑞木
203427	細葉蚊母樹
203589	小葉樟
203596	蘭嶼肉桂
203597	胡氏肉桂
203598	冇樟
203599	土肉桂
203600	土樟
203606	菲律賓厚殼桂
203648	大武新木薑子
203657	臺灣檫樹
203658	棋盤腳樹
203971	太魯閣胡頹子
203988	阿里山十大功勞
204153	湖北海棠
204174	蘭嶼野櫻花
204181	霧社山櫻花
204183	阿里山櫻花
204185	臺灣火刺木
204388	水社柳
204436	鐘萼木
204437	蘭嶼樹蘭
204440	穗花樹蘭
204451	南庄橙
204472	蘭嶼花椒
204483	賽欒華
204517	銀脈爵床
204574	阿里山女貞
204634	白桐
204758	胡桐
204759	蘭嶼福木
204788	恆春山茶
204813	蓮華池柃木
205628	臺灣水韭
310883	椰子蟹
348248	天王弓蜓
380021	盤古蟾蜍
380023	中國樹蟾
380025	巴氏小雨蛙
380026	黑蒙西氏小雨蛙
380028	史丹吉氏小雨蛙
380029	腹斑蛙
380034	澤蛙
380035	長腳赤蛙
380043	日本樹蛙
380044	褐樹蛙
380045	艾氏樹蛙
380046	面天樹蛙
380047	白頜樹蛙
380048	諸羅樹蛙
380050	莫氏樹蛙
380051	翡翠樹蛙
380052	臺北樹蛙
380053	阿里山山椒魚
380054	臺灣山椒魚
380055	楚南氏山椒魚
380056	鴛鴦
380057	尖尾鴨
380059	琵嘴鴨
380060	小水鴨
380061	羅紋鴨
380064	赤頸鴨
380065	綠頭鴨
380066	斑嘴鴨
380067	白眉鴨
380068	赤膀鴨
380069	白額雁
380071	鴻雁
380073	豆雁
380074	青頭潛鴨
380075	紅頭潛鴨
380076	鳳頭潛鴨
380077	斑背潛鴨
380081	鵲鴨
380082	小天鵝
380083	大天鵝
380084	疣鼻天鵝
380085	小秋沙
380086	川秋沙
380087	紅胸秋沙
380088	唐秋沙
380089	棉鴨
380090	黃麻鴨
380091	翹鼻麻鴨
380092	栗樹鴨
380093	家雨燕
380094	叉尾雨燕
380097	日本松雀鷹
380098	北雀鷹
380099	赤腹鷹
380100	鳳頭蒼鷹
380101	松雀鷹
380103	花鵰
380104	白肩鵰
380105	灰面鵟鷹
380106	鵟
380107	毛足鵟
380108	灰鷂
380109	鵲鷂
380110	東方澤鷂
380111	白尾海鵰
380113	林鵰
