name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
201092	Plantae	Cycadophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	taitungensis		C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen, 1994	Cycas taitungensis  C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen, 1994	species
201093	Plantae	Coniferophyta	Pinopsida	Taxales	Taxaceae	Amentotaxus	formosana		Li, 1952	Amentotaxus formosana  Li, 1952	species
201094	Plantae	Coniferophyta	Pinopsida	Pinales	Cephalotaxaceae	Cephalotaxus	wilsoniana		Hayata, 1914	Cephalotaxus wilsoniana  Hayata, 1914	species
201096	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Chamaecyparis	formosensis		Matsum., 1901	Chamaecyparis formosensis  Matsum., 1901	species
201100	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	formosana		Hayata, 1908	Juniperus formosana  Hayata, 1908	species
201101	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	squamata		Buch.-Ham. apud Lamb., 1824	Juniperus squamata  Buch.-Ham. apud Lamb., 1824	species
201102	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Abies	kawakamii		(Hayata) Ito, 1909	Abies kawakamii  (Hayata) Ito, 1909	species
201104	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Picea	morrisonicola		Hayata, 1908	Picea morrisonicola  Hayata, 1908	species
201106	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	massoniana		Lambert, 1803	Pinus massoniana  Lambert, 1803	species
201107	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	morrisonicola		Hayata, 1908	Pinus morrisonicola  Hayata, 1908	species
201108	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	taiwanensis		Hayata, 1911	Pinus taiwanensis  Hayata, 1911	species
201112	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Nageia	nagi		(Thunb.) O. Kuntze, 1891	Nageia nagi  (Thunb.) O. Kuntze, 1891	species
