name_code	description
380992	Snout short, wider than depth. Mouth inferior, arched; three rostral fold in front of mouth. Four maxillary barbells in a row and well developed papillae in two rows on upper lip; two pairs of mandibular barbells at corner of mouth. Body thin, elongated, posterior laterally compressed; ventral profile horizontal to origin of anal; dorsal slightly horizontal. Scales tiny, ventral surface of head, thorax and abdomen naked, lateral line scales complete. L.l.：79－87; dorsal fin rays：3+8; pectoral fin rays：12-14+12-14; pelvic fin rays：6-7+10-12; anal fin rays：2+5; pectoral and pelvic fins laterally expanded; pelvic fins bases united; anus near the middle way between pelvic fin end and anal fin origin; caudal fin forked, lower lobe slightly longer than upper. Dorsal fin origin slightly behind pelvic fin origin. Greenish and blueish, irregularly dark blotches along back. Black stripes on dorsal and caudal fins. Resemble to H. formosanum, and can be distinguished by the united pelvic fin base and slender caudal peduncle of H. taitungensis.
380993	Snout short, wider than depth. Mouth inferior, arched; three rostral fold in front of mouth. Four maxillary barbells in a row, two pairs of mandibular barbells at corner of mouth. Body thin, posterior laterally compressed; ventral profile horizontal to origin of anal; dorsal moderately arched. Scales small, ventral surface of head, thorax and abdomen naked; lateral line scales complete. L.l.：50-65; dorsal fin rays：3+8; pectoral fin rays：10-12+12-14; pelvic fin rays：6-8+14-17; anal fin rays：2+5. Pectoral and pelvic fins laterally expanded; pelvic fin continuous to form a sucker; anus near anal fin origin; caudal fin forked. Dorsal fin origin slightly behind pelvic fin origin. Brownish. Some dark blotches along back. Black stripes on all fins.
381097	Body depressed, completely encased in fused dermal plates: 3 pairs of dorsolateral body plates; 4 pairs of ventrolateral body plates; tail rings 8 or 9, mobile. A pair of deep pits posterior to orbit. Suborbital shelf concave, eye visible in ventral view. Ventral ridges of rostrum greatly expanded than dorsal ridges, each with laterally directed denticles. Anal papilla absent. Spinous dorsal fin absent; soft dorsal and anal fins each with 5 rays, placed posteriorly on body; pectoral fins large, wing-like, inserted horizontally, composed of 9 to 12 unbranched soft rays; pectoral-fin rays interconnected by broad, transparent membranes; pelvic fin spine and 1st ray forming an elongate, tentacular structure. Color in life variable; body usually light to dark brown, with dorsal and lateral area darker than ventral surface. Pectoral fins hyaline, distal margin white and spotted.
381098	Body depressed, completely encased in fused dermal plates: 4 pairs of dorsolateral body plates; 5 pairs ventrolateral body plates; deep pits on dorsal surface of head and within interorbital depression absent; 11 or more tail rings with 9th and 10th fused; suborbital shelf convex, obscuring eye from ventral view; last tail ring without spine on dorsal surface. No scales on orbit. Spinous dorsal fin absent; soft dorsal and anal fins each with 5 rays, placed posteriorly on body; pectoral fins large, 5th rays of pectorals stout, much thicker than other rays. Readily identified by its rather short rostrum when juvenile or female; it is more developed in males. It has a variety of colors and can be dull to bright yellow or blue. Preserved body dark brown dorsally and laterally; lighter ventrally.
381099	Body depressed, completely encased in fused dermal plates:  4 pairs of dorsolateral body plates; 5 pairs of ventrolateral body plates; tail rings 12, anteriormost 9 mobile, last 3 fused; a lateral pair of posteriorly directed spines on terminal tail rings. Tubercles absent on surface of carapace; no scales on orbit; suborbital shelf convex obscuring eye from ventral view; deep pits absent. Spinous dorsal fin absent; soft dorsal and anal fins each with 5 rays, placed posteriorly on body; pectoral fins large, wing-like, inserted horizontally, composed of 9 to 12 unbranched soft rays; pectoral-fin rays interconnected by broad, transparent membranes; pelvic fin spine and 1st ray forming an elongate, tentacular structure. Body light brown or olive to dark brown-black dorsally and laterally, lighter ventrally.
381117	"Rings: 11 + 35 (34-37). Snout length: 1.7-2.0 in head length. Dorsal fin rays: 17 (15-18) covering 2+1 rings. Pectoral fin rays: 18 (17-20). Coronet: medium, with four or five very long, very sharp spines. Spines: extremely long and sharp; all spines well-developed. Other distinctive characters: very long snout (more than 1/2 head length); single cheek spine; dorsal fin base very short; always has at least as many pectoral as dorsal fin rays (whereas most species have more dorsal fin rays); sharp ventral keel; prominent spine in front of coronet. Color pattern: base color variable, including pale pink, yellow or green; spines often dark tipped; may have pale ""saddles"", often filled with small dark spots, across dorsolateral surfaces; snout not striped."
381118	Rings: 11+36 (34-38). Snout length: 2.3 (2.0-2.6) in head length. Dorsal fin rays: 17-18 covering 2+1 rings. Pectoral fin rays: 16 (15-18). Coronet: low-medium, rounded, overhanging at the back, often with a cup-like depression in the top; sometimes with broad flanges; not spiny. Spines: low, rounded bumps only. Other distinctive characters: deep head; deep body; thick snout. Color pattern: often totally black with a grainy texture; alternatively pale yellow or cream with fairly large, dark spots (especially females); may be sandy colored, blending in with the surroundings.
381119	"Rings: 11+40-41 (38-43). Snout length: 2.2 (1.9-2.4) in head length. Dorsal fin rays: 20 (18-22) covering 2+1 rings. Pectoral fin rays: 17-18 (16-19). Coronet: very low, in line with arch of neck, visible as five tiny points. Spines: low and small to slightly raised. Other distinctive characters: very sharp hook-like cheek and eye spines; quite flat in appearance; narrow head; no nose spine. Color pattern: golden orange, sandy colored or totally black; may have large dark spots on the dorsolateral surface of the first, fourth and seventh trunk ring (less visible in dark specimens, and more common in males than females); some specimens ""zebra striped"" in brown and white."
381120	"Rings: 11+40-41 (38-43). Snout length: 2.2 (1.9-2.4) in head length. Dorsal fin rays: 20 (18-22) covering 2+1 rings. Pectoral fin rays: 17-18 (16-19). Coronet: very low, in line with arch of neck, visible as five tiny points. Spines: low and small to slightly raised. Other distinctive characters: very sharp hook-like cheek and eye spines; quite flat in appearance; narrow head; no nose spine. Color pattern: golden orange, sandy colored or totally black; may have large dark spots on the dorsolateral surface of the first, fourth and seventh trunk ring (less visible in dark specimens, and more common in males than females); some specimens ""zebra striped"" in brown and white."
381126	Body typically slender and elongate, without scales, encased in a series of bony rings; surfaces largely tuberculate; anterior postdorsal part of tail not oval in cross-section. Superior trunk and tail ridges discontinuous; inferior trunk and tail ridges continuous; lateral trunk ridge confluent with lateral and superior tail ridge. Snout long, compressed laterally,the median dorsal snout ridge poorly defined; opercle without a distinct longitudinal ridge; scutella conizal, not clearly elevated or keel-like in lateral aspect; without dermal flaps. Rings 24-26 + 53-57, darsal-fin rays 40-51, pectoral-fin rays 23-26. Superior ridges of trunk and anterior third of tail margined, dorsolateally, with dark brpwn or black.
