name_code	distribution	iucn_code
380992	Endemic to eastern portion of Central Mountain Range (CMR) of Taiwan. Presently known from branches at high elevation of Hualien River, Hsiukuluan River and Peinan River.	VU
380993	Endemic to western Taiwan, found in Tachia River, Tatu River, Choshui River, Tsengwen River and Kaoping River.	VU
381097	Distributed in the Indo-Pacific from Red Sea and South Africa to Marquesan and Society Islands, north to southern Japan, south to Australia and Lord Howe Island; throughout Micronesia. It is found in northeastern and western Taiwanese waters.	DD
381098	Distributed in the Indo-West Pacific from Gulf of Manaar, Indian Ocean to Gulf of Thailand and South China Sea, along the coast of southern China and Taiwan, extending as far north as Suruga Bay, Japan. It is found in northeastern and western Taiwanese wa	VU
381099	Distributed in the Indo-West Pacific from Delagoa Bay, Mozambique to Saudi Arabia (Persian Gulf) and throughout Gulf of Manaar to Bay of Bengal; along the east coast of Myanmar; north to Japan, south to tropical Australia and Papua New Guinea.  It is foun	VU
381107	Distributed from Red Sea and East Africa to Samoa, north to southern Japan, south to northern Australia; throughout Micronesia. It is found in southern and eastern Taiwanese waters; and Siao Liouciou, southwestern Taiwan.	DD
381117	Distributed in the Indo-Pacific from Tanzania and South Africa to Hawaii and Tahiti, north to Japan, south to New Caledonia. Reported from the Arafura Sea. It is found in southern Taiwanese waters.	DD
381118	Distributed in the Indo-Pacific from Pakistan and India to southern Japan, Hawaii, and the Society Islands. It is mainly found in northern and southern Taiwanese waters.	VU
381119	Distributed in the Indo-Pacific from southern India to Japan, Australia and Tahiti. It is a common species in Taiwan except eastern part.	VU
381120	Distributed in the Indo-Pacific from southern India to Japan, Australia and Tahiti. It is a common species in Taiwan except eastern part.	VU
381126	Western Indian Ocean: Mauritius. Western Pacific: South China Sea north to southern Japan, south to northern Australia. It is found in southwestern Taiwanese waters.	VU
381127	Distributed in the Indo-Pacific feom Red Sea south to South Africa, east to Samoa, north to southern Japan, south to New South Wales; throughout Micronesia except the northern Marshall Islands Southeast Atlantic: Knysna, South Africa. It is found in south	DD
381907	Distributed in Taiwan, Philippines and Indonesia to islands in the Pacific. It is commonly found in Taiwan.	LR/lc
382500	Cosmopolitan in tropical and temperate waters of all oceans including the Mediterranean Sea, extending north to 45 to 50°N and south to 30 to 40°S but not at the surface between l0°N and 10°S. It is a very common species in Taiwan, especially in eastern a	DD
382501	Worldwide in tropical and subtropical seas, but absent from the Mediterranean Sea. It is a very common species in Taiwan, especially in eastern and southern part.	LR/lc
382502	Cosmopolitan in tropical and temperate waters of all oceans, but absent in the Mediterranean; a common species in Taiwan, especially in eastern and southern part.	VU
382513	<i>C. boenak<i/> is primarily continental in its distribution, occurring from Kenya to southern Mozambique and eastward to the western Pacific (Ryukyu Islands Taiwan, China, Philippines, Indonesia, Papua New Guinea, New Caledonia, and eastern Australia).	DD
382524	Western Pacific: southern Japan to Palau, Guam, New Caledonia and southern Queensland, Australia. Eastern Indian Ocean: Nicobar Islands to Broome, Western Australia. Reports from western Indian Ocean (Heemstra and Randall 1984, 1986), are unsubstantiated,	DD
382526	Western Pacific: from southern China, Taiwan, East China Sea, Korea, and southern Japan.	EN
382535	Indo-West Pacific: Red Sea south to at least Durban, South Africa and eastward to Palau and Fiji, north to the Ryukyu Islands, south to the Arafura Sea (Ref. 9819) and Australia. Recently reported from the Mediterranean coast of Israel.	NT
382541	Widely distributed in the Indo-Pacific region, including the Red Sea, but not known from the Persian Gulf, Hawaii, or French olynesia.	NT
382543	Indo-Pacific: Red Sea to Algoa Bay, South Africa and eastward to the Hawaiian and Pitcairn islands, north to southern Japan, south to Australia. Absence in the Persian Gulf is puzzling.	VU
382586	Western Pacific: Taiwan to Celebes, Indonesia and Western Australia.	VU
382589	Western Pacific, from southern Japan to Australia (Queensland and Western Australia) and eastward to the Caroline Islands and Fiji. We have also examined specimens from Hong Kong, Viet Nam, Philippines, Indonesia, Palau Islands, Papua New Guinea, and New	NT
382692	The swordfish is highly migratory species, cosmopolitan in tropical, temperate and sometimes cold waters of all oceans, including the Mediterranean Sea, the Sea of Marmara, the Black Sea, and the Sea of Azov. Mt DNA restriction analysis reveal that geneti	EN
382788	Endemic to Tachia River of middle Taiwan, found in elevation higher 1500m and water temperature lower than 15oC.	CR
383068	Indian Ocean including Madagascar, Mauritius, Seychelles, India. Western central Pacific including Singapore, Thailand, Viet Nam, China, Taiwan, The Philippines, Indonesia, New Guinea, Australia, Hawaiian Islands.	LR/nt
383069	Western Atlantic including Mexico, Gulf of Mexico, southern Brazil to Argentina. Eastern Atlantic including Mediterranean Sea, off France and Algeria, Morocco, Mauritania, Canary Islands, Guinea, Namibia to South Africa. Western Indian Ocean including Sou	VU
383070	Western Atlantic including northern Carolina to Florida, Bahamas, Cuba, northern Gulf of Mexico, British Guiana, southern Brazil. Eastern Atlantic including Mediterranean, Cape Verde Islands, Senegal, Guinea and Sierra Leone, Togo and Nigeria, Angola. Ind	LR/nt
