name_code	kingdom	phylum	class	order	family	genus	specificEpithet	scientificName	infraspecies	scientificNameAuthorship	rank	iucn_code
380586	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Suncus	murinus	Suncus murinus		(Linnaeus, 1766)	species	LRlc
380050	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	moltrechti	Rhacophorus moltrechti		Boulenger, 1908	species	LC
380618	Animalia	Chordata	Reptilia	Testudines	Dermochelidae	Dermochelys	coriacea	Dermochelys coriacea		Vandelli, 1761	species	CR
380613	Animalia	Chordata	Reptilia	Testudines	Geoemydidae	Ocadia	sinensis	Ocadia sinensis		Gray, 1834	species	EN
380612	Animalia	Chordata	Reptilia	Testudines	Geoemydidae	Mauremys	mutica	Mauremys mutica		Cantor, 1842	species	EN
380610	Animalia	Chordata	Reptilia	Testudines	Geoemydidae	Chinemys	reevesii	Chinemys reevesii		Gray, 1831	species	EN
380560	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	dasymallus	Pteropus dasymallus formosus	formosus	(Sclater, 1873)	subspecies	EN
310883	Animalia	Arthropoda	Malacostraca	Decapoda	Coenobitidae	Birgus	latro	Birgus latro		(Linnaeus, 1767)	species	DD
380600	Animalia	Chordata	Mammalia	Rodentia	Muridae	Niviventer	culturatus	Niviventer culturatus		(Thomas, 1917)	species	LRnt
380052	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	taipeianus	Rhacophorus taipeianus		Liang & Wang, 1978	species	NT
380051	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	prasinatus	Rhacophorus prasinatus		Mou, Risch, & Lue, 1983	species	NT
380537	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Lagenodelphis	hosei	Lagenodelphis hosei		Fraser, 1956	species	DD
380536	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Grampus	griseus	Grampus griseus		G. Cuvier, 1812	species	DD
380566	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Harpiocephalus	harpia	Harpiocephalus harpia		(Temminck, 1840)	species	LRlc
380601	Animalia	Chordata	Mammalia	Rodentia	Muridae	Rattus	losea	Rattus losea		(Swinhoe, 1871)	species	LRlc
380594	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Eothenomys	melanogaster	Eothenomys melanogaster		(Milne-Edwards, 1871)	species	LRlc
380562	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	monoceros	Rhinolophus monoceros		K. Andersen, 1905	species	LRnt
380530	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	edeni	Balaenoptera edeni		Anderson, 1879	species	DD
380529	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	borealis	Balaenoptera borealis		Lesson, 1828	species	EN
385002	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	musculus	Balaenoptera musculus		(Linnaeus,1758)	species	EN
380531	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	physalus	Balaenoptera physalus		Linnaeus, 1758	species	EN
380551	Animalia	Chordata	Mammalia	Cetacea	Phocoenidae	Neophocaena	phocaenoides	Neophocaena phocaenoides		G. Cuvier, 1829	species	DD
380045	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Kurixalus	eiffingeri	Kurixalus eiffingeri		(Boettger, 1895)	species	LC
380046	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Kurixalus	idiootocus	Kurixalus idiootocus		(Kuramoto & Wang, 1987)	species	LC
380048	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Rhacophorus	arvalis	Rhacophorus arvalis		Lue, Lai, & Chen, 1995	species	EN
380547	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	truncatus	Tursiops truncatus		Montagu, 1821	species	DD
380546	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	aduncus	Tursiops aduncus		Ehrenberg, 1833	species	DD
380590	Animalia	Chordata	Mammalia	Primate	Cercopithecidae	Macaca	cyclopis	Macaca cyclopis		(Swinhoe, 1863)	species	VU
380605	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	erythraeus	Callosciurus erythraeus thaiwanensis	thaiwanensis	(Pallas, 1779)	subspecies	LRlc
380608	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Petaurista	philippensis	Petaurista philippensis grandis	grandis	(Elliot, 1839)	subspecies	LRlc
380567	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Miniopterus	schreibersii	Miniopterus schreibersii		Kuhl, 1817	species	LC
380540	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Pseudorca	crassidens	Pseudorca crassidens		Owen, 1846	species	LRlc
380580	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Chimarrogale	himalayica	Chimarrogale himalayica		(Gray, 1842)	species	LRlc
